year,state,DEMOCRAT_%,REPUBLICAN_%,Net_Diff,Status
1980,KENTUCKY,8.442483056435412,-3.0339678447022065,11.476450901137618,Lean
1980,LOUISIANA,6.536799010080263,-0.8677878808209694,7.404586890901232,Lean
1980,MAINE,3.0389214294040237,-6.460593524532992,9.499514953937016,Lean
1980,MARYLAND,7.9266967678523645,-7.885170190018287,15.811866957870652,Safe
1980,MASSACHUSETTS,2.538346358672272,-10.16465791766159,12.70300427633386,Lean
1980,MICHIGAN,3.2859807313023124,-3.0799533891925854,6.365934120494898,Lean
1980,MINNESOTA,7.2901296724800115,-9.507473036347886,16.797602708827895,Safe
1980,MISSISSIPPI,8.92773179441218,-2.602832786687015,11.530564581099195,Lean
1980,MISSOURI,5.134283823743435,-0.9103717511231402,6.044655574866575,Lean
1980,MONTANA,-6.780782574017053,4.758391029380982,-11.539173603398034,Lean
