state,R2,start_year,start_diff,start_status,2020_diff,2020_status,change,abs_change,6th_ave_diff,7th_ave_diff,ROC,ROC_abs
SOUTH CAROLINA,0.4458968686877452,2008,-11.663772748626812,Lean,-9.338282000934118,Lean,2.325490747692694,2.325490747692694,-7.471597122032673,-9.063867608196208,0.7751635825642312,0.7751635825642312
SOUTH DAKOTA,0.880192592860704,2008,-11.098234045552712,Lean,-23.82577711766652,Safe,-12.727543072113807,12.727543072113807,-10.088004695797169,-24.071319828052143,-4.242514357371269,4.242514357371269
TENNESSEE,0.9468177132720416,2008,-17.755105007536436,Safe,-20.870499476811688,Safe,-3.1153944692752518,3.1153944692752518,-3.442070189517466,-20.699870345902085,-1.0384648230917506,1.0384648230917506
TEXAS,0.8209571302587939,2008,-14.455927793791968,Safe,-3.2402332712337056,Swing,11.215694522558262,11.215694522558262,-9.51423325983333,-3.3816005944925425,3.7385648408527543,3.7385648408527543
UTAH,0.435901546675862,2004,-38.08837428598922,Safe,-18.1454300281651,Safe,19.942944257824117,19.942944257824117,-32.195896109619476,-15.374259171712232,4.985736064456029,4.985736064456029
VERMONT,0.9064213353893089,1984,5.052783166653946,Swing,37.413083844727794,Safe,32.36030067807385,32.36030067807385,18.060269009682084,34.426451623602844,3.5955889642304277,3.5955889642304277
VIRGINIA,0.9884636298830679,1996,-7.2025308037665,Lean,12.452373928968719,Lean,19.65490473273522,19.65490473273522,-2.4830866225810566,11.626269714517212,3.27581745545587,3.27581745545587
WASHINGTON,0.9514631969945545,1996,7.293422290032137,Lean,21.54168381040822,Safe,14.248261520376083,14.248261520376083,10.333536981374294,21.362071683084697,2.374710253396014,2.374710253396014
WEST VIRGINIA,0.9771999024966621,1996,9.502478067035923,Lean,-36.59667026164803,Safe,-46.09914832868395,46.09914832868395,1.7678011492851118,-36.63692868746191,-7.683191388113992,7.683191388113992
WISCONSIN,0.9829310149546071,2008,11.21743524223907,Lean,2.965459960267353,Swing,-8.251975281971717,8.251975281971717,8.247977152026785,3.8387882228859693,-2.7506584273239056,2.7506584273239056
