year,state,DEMOCRAT,OTHER,REPUBLICAN,TOTAL,DEMOCRAT_%,REPUBLICAN_%,OTHER_%,Winner,Winner_%,Loser_%
1996,NORTH CAROLINA,1107849.0,182020.0,1225938.0,2515807.0,0.4403553213740164,0.4872941366328975,0.07235054199308612,REPUBLICAN,0.4872941366328975,0.4403553213740164
1996,NORTH DAKOTA,106905.0,34456.0,125050.0,266411.0,0.4012784757386144,0.46938752528987165,0.12933399897151393,REPUBLICAN,0.46938752528987165,0.4012784757386144
1996,OHIO,2148222.0,526329.0,1859883.0,4534434.0,0.4737574744720069,0.4101687222705193,0.11607380325747381,DEMOCRAT,0.4737574744720069,0.4101687222705193
1996,OKLAHOMA,488105.0,136293.0,582315.0,1206713.0,0.40449137450247075,0.48256296236139,0.11294566313613925,REPUBLICAN,0.48256296236139,0.40449137450247075
1996,OREGON,649641.0,189967.0,538152.0,1377760.0,0.4715197131575891,0.3905992335384973,0.1378810533039136,DEMOCRAT,0.4715197131575891,0.3905992335384973
1996,PENNSYLVANIA,2215819.0,484319.0,1801169.0,4501307.0,0.492261247677619,0.40014355830428805,0.10759519401809296,DEMOCRAT,0.492261247677619,0.40014355830428805
1996,RHODE ISLAND,233050.0,52514.0,104683.0,390247.0,0.5971858848370392,0.26824805828103737,0.1345660568819235,DEMOCRAT,0.5971858848370392,0.26824805828103737
1996,SOUTH CAROLINA,506152.0,70691.0,573339.0,1150182.0,0.44006252923450373,0.498476762807973,0.061460707957523245,REPUBLICAN,0.498476762807973,0.44006252923450373
1996,SOUTH DAKOTA,139333.0,33950.0,150543.0,323826.0,0.43027119502448846,0.46488855125900946,0.10484025371650207,REPUBLICAN,0.46488855125900946,0.43027119502448846
1996,TENNESSEE,909146.0,121429.0,863530.0,1894105.0,0.4799871179264085,0.4559039757563599,0.06410890631723162,DEMOCRAT,0.4799871179264085,0.4559039757563599
1996,TEXAS,2459683.0,415794.0,2736167.0,5611644.0,0.43831771937065145,0.48758741645050896,0.07409486417883956,REPUBLICAN,0.48758741645050896,0.43831771937065145
1996,UTAH,221633.0,82085.0,361911.0,665629.0,0.3329677643251721,0.54371278895601,0.12331944671881784,REPUBLICAN,0.54371278895601,0.3329677643251721
1996,VERMONT,137894.0,40203.0,80352.0,258449.0,0.5335443356329489,0.31090079667555304,0.15555486769149812,DEMOCRAT,0.5335443356329489,0.31090079667555304
1996,VIRGINIA,1091060.0,187232.0,1138350.0,2416642.0,0.45147771163457395,0.471046187230049,0.0774761011353771,REPUBLICAN,0.471046187230049,0.45147771163457395
1996,WASHINGTON,1123323.0,289802.0,840712.0,2253837.0,0.49840472048333573,0.3730136651408243,0.12858161437583995,DEMOCRAT,0.49840472048333573,0.3730136651408243
1996,WEST VIRGINIA,327812.0,74701.0,233946.0,636459.0,0.515055958042859,0.3675743449303097,0.11736969702683127,DEMOCRAT,0.515055958042859,0.3675743449303097
1996,WISCONSIN,1071971.0,279169.0,845029.0,2196169.0,0.48810952162606797,0.3847741225743556,0.12711635579957645,DEMOCRAT,0.48810952162606797,0.3847741225743556
1996,WYOMING,77934.0,28249.0,105388.0,211571.0,0.3683586124752447,0.4981211980848037,0.1335201894399516,REPUBLICAN,0.4981211980848037,0.3683586124752447
2000,ALABAMA,692611.0,32488.0,941173.0,1666272.0,0.4156650294789806,0.5648375535326765,0.019497416988342838,REPUBLICAN,0.5648375535326765,0.4156650294789806
2000,ALASKA,79004.0,39158.0,167398.0,285560.0,0.27666339823504693,0.5862095531587057,0.1371270486062474,REPUBLICAN,0.5862095531587057,0.27666339823504693
2000,ARIZONA,685341.0,65023.0,781652.0,1532016.0,0.4473458501738885,0.5102113816043696,0.04244276822174181,REPUBLICAN,0.5102113816043696,0.4473458501738885
2000,ARKANSAS,422768.0,26073.0,472940.0,921781.0,0.4586425626043496,0.5130719769663293,0.028285460429321063,REPUBLICAN,0.5130719769663293,0.4586425626043496
2000,CALIFORNIA,5861203.0,537190.0,4567429.0,10965822.0,0.5344973682775446,0.41651496805255456,0.0489876636699009,DEMOCRAT,0.5344973682775446,0.41651496805255456
2000,COLORADO,738227.0,119393.0,883748.0,1741368.0,0.4239350901130605,0.507502147736722,0.06856276215021753,REPUBLICAN,0.507502147736722,0.4239350901130605
2000,CONNECTICUT,816015.0,82416.0,561094.0,1459525.0,0.5590962813244035,0.384436032270773,0.05646768640482349,DEMOCRAT,0.5590962813244035,0.384436032270773
2000,DELAWARE,180068.0,10173.0,137288.0,327529.0,0.5497772716309091,0.4191628832866708,0.03105984508242018,DEMOCRAT,0.5497772716309091,0.4191628832866708
